Month-Year,BANK-COUNTER,BANK-ATM,BANK-EFTPOS,BANK-INTERNET,BANK-MOBILE,BANK-LEASED LINE,BANK-FIX LINE,BANK-OTHER,BANK-TOTAL
1/1/2557,783.14,33236.46,24425.41,16340.07,6168.46,685.54,182.61,6.64,81828.33
1/2/2557,679.32,32478.09,21462.32,15396.47,6456.69,654.2,166.74,6.62,77300.45
1/3/2557,738.89,35500.79,24364.7,15627.56,7572.74,688.27,181.09,6.82,84680.86
1/4/2557,670.06,31321.63,23621.08,14848.18,7238.43,669.98,166.19,6.91,78542.46
1/5/2557,712.99,34318.19,23424.35,15783.4,8184.37,653.93,175.52,7.04,83259.79
1/6/2557,744.85,33758.75,23684.46,16040.47,8639.93,699.53,169.27,7.44,83744.7
1/7/2557,751.25,34932.74,24191.54,17160.12,8859.09,707.01,128.37,7.87,86737.99
1/8/2557,749.55,37630.86,24232.05,16554.52,9949.13,671.79,122.29,8.16,89918.35
1/9/2557,848.17,35605.46,23927.73,17012.69,10570.17,690.19,122.77,8.48,88785.66
1/10/2557,846.27,36632.76,24768.92,17675.98,11460.35,652.72,119.68,8.79,92165.47
1/11/2557,774.2,35427.77,24027.56,17288.81,11630.97,618.44,110.99,9.18,89887.92
1/12/2557,846.49,36618.68,27779.18,18534.22,12619.42,650.6,116.72,9.45,97174.76
